Employee_Id,Age,Experience_Years,Education_Level,Job_Level,Department,Performance_Score,Weekly_Working_Hours,Salary_LPA
1,30,6,Bachelor,2,HR,3,43.1,18.71
2,40,19,Bachelor,5,Marketing,8,40.8,42.69
3,39,14,PhD,4,Finance,2,44.8,39.37
4,38,10,Master,4,IT,4,37.1,33.53
5,34,7,Bachelor,3,IT,3,48.5,25.56
6,40,20,Bachelor,6,HR,10,35.6,46.19
7,29,6,Master,2,HR,1,41.0,18.08
8,42,18,Bachelor,5,Operations,7,43.7,39.22
9,32,10,Bachelor,4,IT,10,39.3,33.55
10,32,10,Master,3,Marketing,2,38.6,25.67
11,42,20,Bachelor,6,Finance,4,42.9,44.31
12,23,3,Bachelor,2,Operations,9,42.3,18.56
13,29,7,Bachelor,2,Finance,6,42.0,21.17
14,21,2,Master,1,Finance,8,45.4,18.2
15,44,20,Master,6,Finance,2,40.4,46.38
16,21,1,Bachelor,2,Marketing,7,43.3,18.22
17,39,11,Bachelor,4,Operations,6,40.0,30.04
18,29,5,Bachelor,2,IT,9,38.6,23.3
19,21,1,Master,2,IT,7,40.9,20.75
20,44,20,Master,6,Operations,1,40.0,43.58
21,28,0,Bachelor,2,Finance,8,40.2,18.54
22,37,11,Bachelor,4,Marketing,3,42.5,30.02
23,31,9,Bachelor,3,Marketing,3,42.1,24.39
24,36,15,Bachelor,5,Marketing,6,42.4,37.82
25,36,14,Bachelor,5,IT,3,37.3,36.93
26,39,14,Bachelor,4,IT,10,40.8,37.76
27,37,18,Bachelor,5,Marketing,5,40.6,39.2
28,35,11,Master,3,IT,6,41.3,33.21
29,40,19,Bachelor,5,Operations,8,44.9,42.5
30,30,2,Master,1,IT,7,42.5,19.77
31,29,4,PhD,3,HR,8,46.9,31.78
32,46,18,Bachelor,6,Operations,3,42.0,39.16
33,26,6,Bachelor,2,HR,4,49.1,19.23
34,40,20,Bachelor,6,Finance,6,40.2,45.57
35,30,8,Bachelor,3,HR,7,38.9,24.36
36,25,6,Bachelor,2,IT,9,44.2,23.71
37,38,17,Master,5,IT,1,47.5,42.92
38,30,3,Master,1,Operations,8,36.5,18.45
39,38,13,Bachelor,4,Marketing,8,41.2,34.65
40,42,17,Master,6,HR,6,39.6,44.22
41,30,8,Bachelor,3,IT,4,42.6,25.82
42,40,20,Master,6,IT,3,42.0,48.23
43,23,1,Master,2,IT,3,47.4,20.31
44,43,19,Master,5,Finance,6,41.6,42.27
45,35,14,Bachelor,4,Marketing,8,47.5,36.05
46,25,6,Bachelor,2,Finance,7,40.7,24.52
47,25,6,Bachelor,2,Finance,7,40.7,24.52
48,37,11,PhD,3,Marketing,1,45.7,32.13
49,30,7,Bachelor,2,IT,6,42.9,23.14
50,37,14,PhD,5,IT,7,48.9,46.97
51,24,2,Bachelor,1,IT,7,36.1,16.99
52,37,13,Bachelor,4,Finance,9,37.3,34.67
53,37,16,Bachelor,5,IT,10,49.3,44.89
