Employee_ID,Age,Experience_Years,Education,Department,Job_Level,Performance_Rating,Projects_Completed,Certifications,Weekly_Work_Hours,Remote_Work,City_Tier,Job_Satisfaction,Salary_LPA,Salary_Status
0,10001,59,34,Bachelor,Marketing,9,3.7,30,13,38.1,No,Tier 2,5,2.5,High
1,10002,49,29,Bachelor,HR,9,3.2,25,10,48.3,No,Tier 2,1,2.5,High
2,10003,35,10,Bachelor,IT,4,3.1,13,4,41.7,No,Tier 1,2,1.51,Low
3,10004,28,3,Master,Operations,1,3.1,7,3,41.8,No,Tier 1,4,0.93,Low
4,10005,41,18,Master,IT,5,2.6,18,7,47.2,No,Tier 1,5,2.19,High
5,10006,59,36,Diploma,Sales,10,3.2,34,13,34.6,Yes,Tier 3,2,2.5,High
6,10007,39,16,Bachelor,Finance,6,2.3,16,9,42.8,No,Tier 2,5,2.08,Low
7,10008,43,23,Bachelor,Marketing,6,4.3,19,8,42.9,Yes,Tier 1,4,2.47,High
8,10009,31,5,Master,Operations,2,4.6,7,0,41.6,Yes,Tier 1,1,1.26,Low
9,10010,31,8,Bachelor,Operations,4,2.0,10,3,40.3,No,Tier 2,4,1.33,Low
10,10011,44,17,Bachelor,HR,5,3.2,19,7,39.4,Yes,Tier 1,3,2.06,Low
11,10012,56,36,Diploma,IT,10,3.2,32,13,44.4,Yes,Tier 3,5,2.5,High
12,10013,60,37,Bachelor,HR,10,3.4,31,14,37.9,Yes,Tier 2,2,2.5,High
13,10014,44,20,Diploma,Finance,7,4.2,21,7,43.8,No,Tier 1,2,2.35,High
14,10015,23,0,Bachelor,Finance,1,3.2,4,0,40.2,No,Tier 2,4,0.81,Low
15,10016,42,15,Diploma,HR,4,3.4,19,6,40.6,No,Tier 1,4,1.75,Low
16,10017,22,0,Master,Marketing,2,5.0,3,1,44.0,No,Tier 3,4,0.91,Low
17,10018,44,23,Diploma,Finance,6,3.4,19,12,40.5,Yes,Tier 1,2,2.43,High
18,10019,50,25,Bachelor,HR,8,4.6,26,12,49.3,Yes,Tier 3,1,2.5,High
19,10020,58,33,Master,IT,9,3.8,28,10,42.3,Yes,Tier 2,2,2.5,High
20,10021,22,0,Diploma,HR,2,3.1,4,0,48.2,Yes,Tier 3,1,0.69,Low
21,10022,41,15,Bachelor,HR,5,3.0,15,6,39.2,Yes,Tier 1,4,1.95,Low
22,10023,53,31,Bachelor,Sales,8,3.5,28,14,39.1,Yes,Tier 1,3,2.5,High
23,10024,32,6,High School,Finance,2,2.8,7,4,34.7,Yes,Tier 2,2,0.9,Low
24,10025,42,19,Master,Marketing,5,2.9,14,8,40.5,No,Tier 2,4,2.05,Low
25,10026,45,20,High School,Marketing,6,3.2,16,8,41.8,No,Tier 1,2,2.21,High
26,10027,47,20,Bachelor,Sales,7,3.7,22,9,43.4,No,Tier 1,4,2.43,High
27,10028,48,27,Bachelor,Operations,8,4.7,26,11,46.5,No,Tier 1,2,2.5,High
28,10029,36,9,Bachelor,Marketing,3,3.2,15,7,46.1,Yes,Tier 2,5,1.47,Low
29,10030,35,8,Master,HR,3,3.8,7,2,48.7,No,Tier 1,2,1.44,Low
30,10031,23,0,Bachelor,Sales,2,2.4,3,2,38.6,Yes,Tier 1,5,0.89,Low
31,10032,57,31,High School,IT,8,4.2,31,11,43.2,No,Tier 1,1,2.5,High
32,10033,27,6,Master,Finance,2,2.4,6,4,38.0,No,Tier 1,2,1.19,Low
33,10034,41,21,Bachelor,Finance,6,4.0,19,9,45.1,No,Tier 1,1,2.33,High
34,10035,29,5,Master,Finance,2,3.4,6,4,52.0,No,Tier 3,3,1.3,Low
35,10036,59,34,Master,HR,10,3.4,29,14,37.0,No,Tier 1,5,2.5,High
36,10037,38,15,Master,IT,5,3.3,16,8,46.4,No,Tier 3,2,2.0,Low
37,10038,24,4,Bachelor,Sales,2,2.7,2,5,48.2,Yes,Tier 1,1,1.07,Low
38,10039,45,21,Bachelor,Sales,7,2.7,24,9,38.5,No,Tier 1,4,2.39,High
39,10040,34,11,Master,Finance,3,4.0,9,5,45.2,Yes,Tier 1,1,1.62,Low
40,10041,29,2,Bachelor,IT,1,3.5,1,1,41.2,No,Tier 2,2,0.72,Low
41,10042,46,24,Diploma,IT,7,3.3,22,10,42.4,Yes,Tier 2,3,2.5,High
42,10043,22,0,Master,IT,2,3.8,2,3,41.0,Yes,Tier 2,5,0.98,Low
43,10044,40,19,Master,Marketing,6,3.6,18,6,41.9,No,Tier 1,4,2.3,High
44,10045,48,27,Bachelor,Marketing,8,3.0,25,12,48.8,Yes,Tier 3,1,2.5,High
45,10046,27,5,High School,Finance,3,5.0,9,3,42.6,No,Tier 3,2,1.08,Low
46,10047,28,8,Bachelor,IT,4,4.0,14,3,40.0,Yes,Tier 1,2,1.53,Low
47,10048,55,31,Master,Operations,8,3.6,26,11,43.3,No,Tier 2,5,2.5,High
48,10049,34,11,Master,IT,3,3.2,14,4,32.4,No,Tier 2,4,1.54,Low
49,10050,37,16,Diploma,Sales,6,4.1,18,6,38.9,No,Tier 1,1,1.92,Low
50,10051,56,36,High School,Sales,10,3.0,25,14,49.2,Yes,Tier 1,1,2.5,High
51,10052,60,38,Master,Finance,10,2.9,31,15,42.3,Yes,Tier 2,1,2.5,High
52,10053,24,0,Bachelor,Operations,1,4.6,1,4,40.6,No,Tier 3,5,0.75,Low
53,10054,22,0,Bachelor,IT,2,3.5,4,1,43.9,Yes,Tier 1,5,0.97,Low
54,10055,26,0,PhD,Operations,1,3.0,4,2,46.7,Yes,Tier 2,4,0.9,Low
55,10056,24,0,High School,Finance,1,3.5,4,1,49.6,No,Tier 3,1,0.58,Low
56,10057,49,28,Bachelor,Sales,9,4.1,25,11,40.7,No,Tier 1,1,2.5,High
57,10058,38,11,High School,Sales,3,3.9,11,3,40.9,Yes,Tier 1,4,1.41,Low
58,10059,46,19,Bachelor,Marketing,5,4.1,18,6,41.9,Yes,Tier 2,4,2.08,Low
59,10060,54,32,Master,Finance,10,2.7,28,13,48.1,Yes,Tier 1,4,2.5,High
60,10061,30,7,Bachelor,Finance,2,4.1,11,2,43.3,No,Tier 1,2,1.27,Low
61,10062,56,29,PhD,IT,9,3.4,24,12,53.8,Yes,Tier 1,4,2.5,High
62,10063,34,8,Bachelor,IT,3,3.6,7,3,42.2,No,Tier 1,3,1.47,Low
63,10064,51,24,Bachelor,Marketing,8,4.3,23,7,51.8,Yes,Tier 3,5,2.5,High
64,10065,35,9,Diploma,HR,4,4.0,9,1,38.5,Yes,Tier 2,4,1.19,Low
65,10066,28,4,Bachelor,Operations,2,3.7,3,5,36.1,No,Tier 1,2,1.03,Low
66,10067,34,13,Bachelor,HR,5,2.2,15,4,42.5,Yes,Tier 2,3,1.64,Low
67,10068,43,22,High School,HR,6,3.5,19,9,48.7,No,Tier 3,2,2.17,High
68,10069,60,37,Bachelor,Finance,10,3.0,30,14,40.6,No,Tier 1,2,2.5,High
69,10070,41,14,Bachelor,Operations,5,4.0,14,5,39.9,Yes,Tier 1,2,1.88,Low
70,10071,36,9,Master,Finance,3,4.1,8,4,48.1,No,Tier 3,2,1.5,Low
71,10072,38,13,Master,Operations,5,3.3,13,6,46.5,Yes,Tier 3,1,1.88,Low
72,10073,44,24,Master,Sales,7,3.1,21,10,39.0,Yes,Tier 1,5,2.5,High
73,10074,46,22,High School,Finance,6,4.5,19,8,38.7,Yes,Tier 1,1,2.31,High
74,10075,45,24,Diploma,Finance,8,3.1,21,10,47.1,No,Tier 1,3,2.5,High
75,10076,49,25,Master,Finance,7,2.7,25,10,34.8,Yes,Tier 1,1,2.5,High
76,10077,35,14,Bachelor,Marketing,4,3.0,15,5,48.4,No,Tier 2,3,1.74,Low
77,10078,21,0,High School,Finance,1,3.1,1,3,46.5,No,Tier 1,4,0.68,Low
78,10079,45,23,Master,IT,6,2.9,24,9,31.6,Yes,Tier 1,3,2.39,High
79,10080,27,1,Master,IT,1,4.0,5,0,43.1,No,Tier 2,1,0.94,Low
80,10081,29,8,Bachelor,Operations,3,2.1,11,5,33.1,No,Tier 3,1,1.18,Low
81,10082,44,20,High School,Sales,6,2.9,21,7,37.0,No,Tier 1,3,2.22,High
82,10083,21,0,Master,Marketing,1,3.5,3,1,40.5,No,Tier 1,1,0.78,Low
83,10084,28,8,Bachelor,Operations,4,3.6,11,4,36.7,No,Tier 3,3,1.37,Low
84,10085,44,22,Master,IT,6,4.6,19,8,54.1,Yes,Tier 2,2,2.5,High
85,10086,31,9,Master,Marketing,3,4.5,12,7,47.3,No,Tier 1,5,1.6,Low
86,10087,37,17,Master,Marketing,6,2.5,17,5,49.8,No,Tier 1,3,2.17,High
87,10088,28,4,Bachelor,Sales,3,2.3,3,3,42.3,No,Tier 1,2,1.09,Low
88,10089,55,28,Diploma,Marketing,9,3.5,28,11,43.2,No,Tier 2,2,2.5,High
89,10090,55,32,Master,Finance,9,3.1,28,12,50.9,No,Tier 1,2,2.5,High
90,10091,53,33,Bachelor,Marketing,10,2.7,29,12,45.2,No,Tier 1,2,2.5,High
91,10092,25,1,Master,Sales,2,3.5,3,1,46.1,No,Tier 1,3,1.0,Low
92,10093,59,39,Diploma,Operations,10,3.6,33,14,38.4,Yes,Tier 1,1,2.5,High
93,10094,48,28,Diploma,Sales,8,3.0,26,10,38.4,No,Tier 2,2,2.5,High
94,10095,27,6,Master,Sales,3,3.1,5,5,44.3,Yes,Tier 1,4,1.35,Low
